Recommender,Percentage,P_10,P_100,P_20,P_30,P_40,P_5,P_50,P_60,P_70,P_80,P_90,bpref,err,err45,infAP2,mae,map,map_cut_10,map_cut_100,map_cut_20,map_cut_30,map_cut_40,map_cut_5,map_cut_50,map_cut_60,map_cut_70,map_cut_80,map_cut_90,ndcg,ndcg2,ndcg2_cut_10,ndcg2_cut_100,ndcg2_cut_20,ndcg2_cut_30,ndcg2_cut_40,ndcg2_cut_5,ndcg2_cut_50,ndcg2_cut_60,ndcg2_cut_70,ndcg2_cut_80,ndcg2_cut_90,ndcg45,ndcg45_cut_10,ndcg45_cut_100,ndcg45_cut_20,ndcg45_cut_30,ndcg45_cut_40,ndcg45_cut_5,ndcg45_cut_50,ndcg45_cut_60,ndcg45_cut_70,ndcg45_cut_80,ndcg45_cut_90,ndcg_cut_10,ndcg_cut_100,ndcg_cut_20,ndcg_cut_30,ndcg_cut_40,ndcg_cut_5,ndcg_cut_50,ndcg_cut_60,ndcg_cut_70,ndcg_cut_80,ndcg_cut_90,qm,qm45,qm45_cut_10,qm45_cut_100,qm45_cut_20,qm45_cut_30,qm45_cut_40,qm45_cut_5,qm45_cut_50,qm45_cut_60,qm45_cut_70,qm45_cut_80,qm45_cut_90,qm_cut_10,qm_cut_100,qm_cut_20,qm_cut_30,qm_cut_40,qm_cut_5,qm_cut_50,qm_cut_60,qm_cut_70,qm_cut_80,qm_cut_90,recall_10,recall_100,recall_20,recall_30,recall_40,recall_5,recall_50,recall_60,recall_70,recall_80,recall_90,recip_rank,rmse,set_F,set_P,set_recall,yaap
run-BPRMF-libraryThing,0.05,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0063,0.0004,0.0,0.0035,0.0128,0.0002,0.0,0.0002,0.0001,0.0001,0.0001,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0017,0.0017,0.1727,0.7965,0.2678,0.3485,0.4218,0.1122,0.4906,0.5559,0.6189,0.6797,0.7388,0.0014,0.0001,0.0014,0.0004,0.0006,0.0007,0.0,0.0009,0.0009,0.0011,0.0013,0.0013,0.0002,0.0017,0.0006,0.0007,0.0008,0.0001,0.0011,0.0011,0.0014,0.0015,0.0016,0.0011,0.0005,0.0001,0.0005,0.0003,0.0003,0.0003,0.0,0.0004,0.0004,0.0004,0.0005,0.0005,0.0002,0.0011,0.0006,0.0007,0.0007,0.0001,0.0008,0.0008,0.001,0.001,0.0011,0.0004,0.0063,0.0017,0.0024,0.0028,0.0,0.0039,0.004,0.0051,0.0058,0.0062,0.0003,0.0129,0.0002,0.0001,0.0063,-0.6219
run-CHI2-libraryThing,0.05,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0097,0.0003,0.0,0.005,0.0733,0.0002,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0002,0.0002,0.0002,0.0023,0.0024,0.1725,0.7971,0.2674,0.348,0.4216,0.1121,0.4905,0.556,0.6191,0.6802,0.7393,0.0019,0.0,0.0019,0.0001,0.0002,0.0005,0.0,0.0007,0.0009,0.0013,0.0017,0.0018,0.0,0.0023,0.0001,0.0003,0.0006,0.0,0.0009,0.0012,0.0016,0.002,0.0021,0.001,0.0004,0.0,0.0004,0.0001,0.0001,0.0002,0.0,0.0002,0.0003,0.0003,0.0004,0.0004,0.0,0.001,0.0,0.0001,0.0004,0.0,0.0005,0.0006,0.0007,0.0009,0.0009,0.0,0.0101,0.0005,0.0009,0.0022,0.0,0.0032,0.0045,0.0063,0.0086,0.0093,0.0003,0.0733,0.0003,0.0001,0.0101,-0.6219
run-HT-libraryThing,0.05,0.0113,0.0029,0.0075,0.0061,0.0051,0.0176,0.0044,0.004,0.0037,0.0033,0.0031,0.1663,0.0676,0.0045,0.1095,1.2225,0.0408,0.0369,0.0408,0.0386,0.0395,0.0399,0.0347,0.0402,0.0404,0.0406,0.0407,0.0408,0.0941,0.0933,0.2334,0.8847,0.3364,0.4221,0.4988,0.1666,0.5703,0.6382,0.7027,0.7652,0.8257,0.0717,0.0491,0.0717,0.0554,0.0598,0.0627,0.0439,0.0646,0.067,0.0685,0.0697,0.0707,0.0635,0.0941,0.0721,0.0777,0.0814,0.057,0.0845,0.0874,0.0892,0.0911,0.0927,0.0798,0.0515,0.0431,0.0515,0.0467,0.0485,0.0495,0.0389,0.0501,0.0506,0.051,0.0512,0.0514,0.0607,0.0798,0.0682,0.0722,0.0745,0.0529,0.076,0.0773,0.0782,0.0788,0.0794,0.0707,0.1737,0.0936,0.1124,0.1255,0.0548,0.1351,0.1478,0.1551,0.1619,0.1674,0.0582,1.2259,0.0056,0.0029,0.1737,-0.5436
run-KLD-libraryThing,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,0.7949,0.2673,0.3478,0.421,0.1121,0.4896,0.5549,0.6176,0.6783,0.7373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6223
run-LDA-libraryThing,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,0.7949,0.2673,0.3478,0.421,0.1121,0.4896,0.5549,0.6176,0.6783,0.7373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6223
run-LM-WSR-IB-libraryThing,0.05,0.0032,0.0014,0.0027,0.0023,0.0021,0.0036,0.0019,0.0018,0.0016,0.0016,0.0015,0.0843,0.0145,0.001,0.0494,0.995,0.0089,0.0066,0.0089,0.0076,0.008,0.0083,0.0055,0.0084,0.0086,0.0087,0.0088,0.0088,0.0322,0.0319,0.1855,0.8256,0.2851,0.368,0.4437,0.1218,0.5138,0.5809,0.6446,0.7066,0.7667,0.0247,0.0104,0.0247,0.0142,0.0163,0.0182,0.0075,0.0193,0.0209,0.0216,0.0228,0.0236,0.0137,0.0322,0.0187,0.0213,0.0238,0.0103,0.0253,0.0274,0.0284,0.0298,0.0309,0.0245,0.0137,0.0086,0.0137,0.0108,0.0117,0.0123,0.0066,0.0126,0.013,0.0131,0.0134,0.0135,0.0134,0.0245,0.0176,0.0195,0.021,0.0098,0.0218,0.0227,0.0231,0.0236,0.024,0.019,0.0863,0.0332,0.0423,0.0503,0.0111,0.056,0.0643,0.068,0.0749,0.0794,0.0129,0.9955,0.0028,0.0014,0.0863,-0.6036
run-LM-WSR-UB-libraryThing,0.05,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.004,0.0001,0.0,0.0022,0.0161,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0009,0.0009,0.1725,0.7957,0.2673,0.3479,0.4213,0.1121,0.49,0.5553,0.6181,0.6788,0.7379,0.0008,0.0,0.0008,0.0,0.0001,0.0002,0.0,0.0003,0.0004,0.0005,0.0005,0.0005,0.0,0.0009,0.0001,0.0001,0.0003,0.0,0.0004,0.0004,0.0005,0.0006,0.0006,0.0004,0.0002,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0002,0.0002,0.0002,0.0,0.0004,0.0,0.0001,0.0002,0.0,0.0002,0.0002,0.0003,0.0003,0.0003,0.0,0.004,0.0,0.0004,0.0009,0.0,0.0015,0.0016,0.0024,0.0026,0.0026,0.0001,0.0161,0.0001,0.0001,0.004,-0.6222
run-NNCosNgbr-IB-libraryThing,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0086,0.0005,0.0,0.0045,0.0094,0.0003,0.0001,0.0003,0.0002,0.0002,0.0002,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0021,0.0021,0.1727,0.7969,0.2677,0.3485,0.4218,0.1122,0.4908,0.5563,0.6191,0.68,0.739,0.0018,0.0002,0.0018,0.0004,0.0006,0.0007,0.0001,0.001,0.0013,0.0014,0.0016,0.0016,0.0002,0.0021,0.0005,0.0007,0.0009,0.0001,0.0012,0.0015,0.0016,0.0017,0.0018,0.0012,0.0006,0.0001,0.0006,0.0003,0.0004,0.0004,0.0001,0.0005,0.0006,0.0006,0.0006,0.0006,0.0002,0.0012,0.0005,0.0007,0.0007,0.0001,0.0009,0.001,0.0011,0.0011,0.0011,0.0004,0.0086,0.0012,0.0022,0.0023,0.0002,0.004,0.0056,0.0063,0.0071,0.0071,0.0005,0.0094,0.0003,0.0001,0.0086,-0.6217
run-NNCosNgbr-UB-libraryThing,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0053,0.0002,0.0,0.0029,0.0041,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0002,0.0002,0.0011,0.0011,0.1726,0.7959,0.2675,0.3481,0.4214,0.1121,0.4902,0.5556,0.6183,0.6792,0.7383,0.0011,0.0001,0.0011,0.0003,0.0004,0.0005,0.0,0.0007,0.0008,0.0008,0.001,0.0011,0.0001,0.0011,0.0003,0.0004,0.0004,0.0,0.0006,0.0007,0.0007,0.001,0.0011,0.0006,0.0004,0.0001,0.0004,0.0002,0.0002,0.0002,0.0,0.0003,0.0003,0.0003,0.0004,0.0004,0.0001,0.0006,0.0002,0.0002,0.0003,0.0,0.0004,0.0004,0.0004,0.0005,0.0006,0.0004,0.0053,0.0009,0.0013,0.0017,0.0,0.0028,0.0034,0.0034,0.0048,0.0053,0.0003,0.0041,0.0002,0.0001,0.0053,-0.6219
run-PLSA-libraryThing,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,0.7949,0.2673,0.3478,0.421,0.1121,0.4896,0.5549,0.6176,0.6783,0.7373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6223
