Recommender,Percentage,P_10,P_100,P_20,P_30,P_40,P_5,P_50,P_60,P_70,P_80,P_90,bpref,err,err45,infAP2,mae,map,map_cut_10,map_cut_100,map_cut_20,map_cut_30,map_cut_40,map_cut_5,map_cut_50,map_cut_60,map_cut_70,map_cut_80,map_cut_90,ndcg,ndcg2,ndcg2_cut_10,ndcg2_cut_100,ndcg2_cut_20,ndcg2_cut_30,ndcg2_cut_40,ndcg2_cut_5,ndcg2_cut_50,ndcg2_cut_60,ndcg2_cut_70,ndcg2_cut_80,ndcg2_cut_90,ndcg45,ndcg45_cut_10,ndcg45_cut_100,ndcg45_cut_20,ndcg45_cut_30,ndcg45_cut_40,ndcg45_cut_5,ndcg45_cut_50,ndcg45_cut_60,ndcg45_cut_70,ndcg45_cut_80,ndcg45_cut_90,ndcg_cut_10,ndcg_cut_100,ndcg_cut_20,ndcg_cut_30,ndcg_cut_40,ndcg_cut_5,ndcg_cut_50,ndcg_cut_60,ndcg_cut_70,ndcg_cut_80,ndcg_cut_90,qm,qm45,qm45_cut_10,qm45_cut_100,qm45_cut_20,qm45_cut_30,qm45_cut_40,qm45_cut_5,qm45_cut_50,qm45_cut_60,qm45_cut_70,qm45_cut_80,qm45_cut_90,qm_cut_10,qm_cut_100,qm_cut_20,qm_cut_30,qm_cut_40,qm_cut_5,qm_cut_50,qm_cut_60,qm_cut_70,qm_cut_80,qm_cut_90,recall_10,recall_100,recall_20,recall_30,recall_40,recall_5,recall_50,recall_60,recall_70,recall_80,recall_90,recip_rank,rmse,set_F,set_P,set_recall,yaap
run-CHI2-ml-1M,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068,1.874,0.6301,0.82,0.9926,0.2643,1.1543,1.3082,1.456,1.5991,1.7382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2352
run-KLD-ml-1M,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068,1.874,0.6301,0.82,0.9926,0.2643,1.1543,1.3082,1.456,1.5991,1.7382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2352
run-LDA-ml-1M,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068,1.874,0.6301,0.82,0.9926,0.2643,1.1543,1.3082,1.456,1.5991,1.7382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2352
run-LM-WSR-UB-ml-1M,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068,1.874,0.6301,0.82,0.9926,0.2643,1.1543,1.3082,1.456,1.5991,1.7382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2352
run-NNCosNgbr-UB-ml-1M,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068,1.874,0.6301,0.82,0.9926,0.2643,1.1543,1.3082,1.456,1.5991,1.7382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2352
run-PLSA-ml-1M,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068,1.874,0.6301,0.82,0.9926,0.2643,1.1543,1.3082,1.456,1.5991,1.7382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2352
run-Pop-ml-1M,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068,1.874,0.6301,0.82,0.9926,0.2643,1.1543,1.3082,1.456,1.5991,1.7382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2352
run-PureSVD-ml-1M,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068,1.874,0.6301,0.82,0.9926,0.2643,1.1543,1.3082,1.456,1.5991,1.7382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2352
run-RM1-ml-1M,0.05,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0002,0.0002,0.0071,0.0002,0.0,0.0036,49.2691,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0016,0.0018,0.4068,1.8758,0.6301,0.82,0.9926,0.2643,1.1543,1.31,1.4579,1.6009,1.74,0.0018,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0018,0.0018,0.0018,0.0018,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0016,0.0016,0.0016,0.0016,0.0006,0.0004,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0004,0.0004,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0006,0.0006,0.0,0.0071,0.0,0.0,0.0,0.0,0.0,0.0071,0.0071,0.0071,0.0071,0.0002,49.2691,0.0003,0.0001,0.0071,-0.2349
run-RM2-ml-1M,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068,1.874,0.6301,0.82,0.9926,0.2643,1.1543,1.3082,1.456,1.5991,1.7382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2352
